,0
105,IM SO EXCITEDDDDD!! I’ve been craving a pumpkin spice latte for a month now😂 I wanna try to mix up my usual chai tea latte with oat milk by getting it with pumpkin spice cold foam with dolce cinnamon on top :)
106,@heather.mckay
107,Getting one after dropping off my son at school🫶🫶🫶
108,@elliesmith286
109,@emmarp93
110,@martanusen
111,🙌🙌🙌🙌
112,@taylwynne 😂🎃
113,LIES No Pumpkin Cream Cold Brew back yet 😭 only PSL & select other items
114,yay!
115,I think i’m gonna cry…
116,@from_cocoon_to_butterfly 🤤🍁 🎃 👻
117,“ITS BEEN A LONG TIME COMING”
118,"PSL you represent so much than a drink. You represents new beginnings. You signal a transition in time and weather, no different than birds that flock south for the winter."
119,Are The pumpkin scones discontinued?!? I called corporate twice they said “they are on the menu” and then messaging with Starbucks online they said “they are discontinued.” I’m hoping they arnt!!! Pumpkin scones are the best thing ever!!! Please please make sure they come back!!!
120,@naomiberrimanx92 psl came out today 🤤🥰
121,@holl.mc 🤍🤍🤍
122,@karisanderson91
123,@ellieframpo they are out 🎃
124,@brooklyn.gautry
125,@natcjones01
126,@birkeslucia 🎃😍
127,@basicallyphiona @irisnanasparky yay!!!!!
128,READY FOR IT
129,@yavanna.gi is comming back 😍
130,@caro_1ine_
131,@baking_and_blotts get ready!
132,@makeupqueen89
133,@mike_moo95 🎃😍
134,@anameltkd 👀
135,@bajarifamily I know you’ve been wanting to know. 🤣
136,@kimmienestor Go get your PSpice Sissy!❤️🥰❤️
137,I just got mine today
138,@alexandra001 !!
139,@mm062899 it’s timeeeee 😉🎃
140,Best birthday gift 😫🫶🏼🫶🏼🤎🍂
141,broke the internet
142,@es_soliz 👀
143,Was the first person at Starbucks this morning to get my iced chia tea latte with pumpkin cold foam❤️😭
144,@xx.alxsa_.xx
145,@the.real.slim.jadeyy TIS THE FRICKEN SEASON!!!!! 🎃🍂
146,"@suehayecheverri happy fall, friend! YAY!! 🍁🫶🏻"
147,@nicole_battaglio
148,@reagan.gpayne 🙌🙌🙌
149,@_.alyss.a we were one day too late. 😢😢
150,@mrsranda
151,RUNNNNINGGGGGGG
152,@kmerr12
153,@mrstoelivz we should get Starbucks as a family
154,@mariel.af
155,Ask me how excited I am 😍🍂
156,@natalie.kairis
157,@ms_nicholeeee
158,@jqfitness2019.cpt_afcradnor ❤️
159,Soooooo hyped. 🎃🎃🎃🎃
160,Can’t wait 🤍🤍🤍🤍
161,I’m there😂😂
162,it is time @margaritaadelrio
163,@_amandabarrett everyone is celebrating your bday 😂
164,@kimsham124 😍
165,@_vivetta @ashlynjordin you know what time it is 🫡
166,OMG OMG.
167,@samanthasotola ITS PI DAY!!!
168,@sofiiosua @squidneyjung
169,@steph.n.murphy
170,i needed this
171,@niekerkcharlotte ITS TIMEEEEEEEE
172,@taylorachel
173,I know what i’m doing tomorrow 🧡🍂
174,@ohsoshocking
175,GOT MINE TODAYY
176,CANNOT WAIT!!😍
177,THATS MY BIRTHDAYYY
178,where is the salted caramel mocha??! 😢
179,@ak.myers
180,@maggiewray_ @avayanicolas @emmablackburnn_ @abbiblackburnn GILMORE GIRL SZN
181,@grcewilliams PSL!!!! (meant to tag u in this earlier)
182,‼️‼️‼️‼️‼️⚠️⚠️⚠️⚠️⚠️
183,@ashleylsetterlind here for it
184,@_psh__________
185,Can’t wait 🎃
186,This is almost a threat. A threat to my bank account for the next few months ☕️🎃
187,@jennifer_mulholland_ this surely means autumnal decor is go from tomorrow too! 😍😍😍
188,@_allwork_noplay 👀
189,@meggleton8 it’s happening
190,@roxmcam
191,@_jesslil_
192,@lexistuckless @nlizellis let’s go girls … its time🤭🍂🎃
193,oh my gourd!! it’s here it’s here!
194,This is like a national holiday
195,@stephpappas already looking forward to your video 😂😁
196,ive never been happier
197,@shannonyvettefox
198,@xxkellycraigxx
199,@deeziehelena
200,STOP
201,@apples87
202,@xjuliexannx
203,"If yall don't bring back the pumpkin scone, we riot."
204,@joseph_trlica omg omg
205,@mrsbbirch1988 😍😍😍
206,It’s the best time of year 😍🎃
207,Yessss favorite time of the year is upon us 🧡🎃🍂
208,@thelittle_mir_maid 🎃😍
209,i’ve been waiting
210,What’s the countdown for Starbucks to give the unionized stores contracts?? That’s what I’m waiting for.
211,@chelsrobards 👀
212,@karolinelagerberg @linetpetersen serviceinfo😉
213,@nicole_hockenberry
214,LETS GOOOOOOOOOOOOOOOOOOO
215,@and_amy1
216,@danielle_weis1921 !!!!
217,@trendy_tiffany
218,@emma.smidt 🎃
219,@katharinem5 it’s happening 🎃👀
220,my barista made one for me today I got it before the world😈😈
221,@tasha1992a pumpkin spice lattes at work 🙌
222,@xesthetiqueabsoluex 😮
223,@scott_braren today
224,@justinmunoz @ridiculyss10 tomorrow!! 🤩
225,It’s timeeeeee
226,No!!!!!! It’s still summer and 109 degrees outside
227,@chilimuma
228,8/24 ima get one for kobe @joeybonkboi
229,this is the true autumn solstice
230,@isabellethibault01 😍🤤
231,dairy free pumpkin spice please!!!!!!!!!!!!!
232,@lizzieskelding 🎃
233,It’s about time 😭
234,@lmc721
235,@stevensword !!!!
236,RIP Kobe
237,@christinacct86 it’s nearly tiiiiiiiimmmmmeeee!!! 😍
238,@celestialseltzer
239,@sara.beauti
240,Ok but when does the Caramel Brûlée Latte come back??
241,bet
242,K but are you gonna make the PSL syrup dairy free finally?? 🫶
243,It’s up
244,Best time of the year @alexiarousseauv
245,Omfg
246,LETS GOOOOOO
247,@ginaw139
248,@xrhiannon.___x @xlucyannefieldx
249,@read_with_christy you HUPE OR NAH
250,@carlylouise2405
251,But did you use a Dremel to carve that? 😉
252,@vicky___romero
253,YES
254,@_sofiacastiglioni it’s time baby
255,Best news ever!!!
256,It’s not even september what are y’all on with the pumpkin lattes .☠️
257,@_marissarazo 🎃🧡🤎
258,@ma.glover
259,@l.a.c.r.y.s.t.a.l already in line to get mine 😂
260,OMG I LOVE PUMPKIN SPICEEEEEEEE BEST DAY EVER
261,@ferraripet2 pumpkin cold brew!😍😍
262,🙌🙌🙌😍😍 @maddiee_226
263,"Thank you, @starbucks for allowing us to wear flannels tomorrow despite the 100° heat 🙏"
264,@freyacloake YESSSSSS
265,Here it comes
266,WOOO PUMPKIN SPICE TIME <3
267,I’VE SAVED ALLL MY ⭐️ FOR THIS !
268,Yessssss!!!
269,@adriana1026 @yayis04
270,I love pumpkin 😍
271,Aw my bday how kind of you ❤️
272,My FAVORITE TIME OF THE YEAR 🍁🍂
273,Yay!!!!! Can’t wait 😍
274,@gaukrodge
275,@benpingel 🎃
276,@hanna_smola
277,BLESS 🙌🏼🍁
278,😍😍😍 yayyyy
279,Eeeeek!!
280,Im so excited.
281,Should’ve been sooner smh
282,The best day EVER
283,Starbucks this is so nice of you to do for Chelsea’s birthday @chelsea.jane_
284,@madeline__fowler
285,@kttt_smith_
286,Let’s go girls. 🥰 @erickalarsen @kaelynalida @morgsgurl
287,Is TODAY the day?!?!
288,Todays the day🧡
289,@__lesliehernandez
290,You’ve NOW made my heart ♥️ VERY happy!!!!
291,🧡
292,On my way!!!!
293,My birthday 🧡🎃
294,@misteroats 🥹
295,The Apple croissant is amazing!!! 🔥
296,So excited! 🤗 Favourite time of year 🎃 🍂
297,YESS
298,Perfect! Today is my birthday!!
299,Today is a big day 🎃 😍
300,TODAYS THE DAY!
301,Literally in the drive thru atm💁🏼‍♀️
302,@sara.annegodin @blanchy_training
303,THATS TODAY!!!
304,Best day of the year
305,How excitinggggg🎃🥹🫶🏼
306,@lleticiaamarquess
307,Pumpkin iced latte coming today 😍😍😍😍😍😍😍😍😍
308,@ney_jule ist bald wieder soweit 🎃
309,@audrytess @emilyklaushenderson @erinkcross
310,I'm so ready for the fall drinks🎃
311,On my 30th Birthday! Reward time!
312,SHES BACKKKK
313,@jossappenzeller we go when we get home 🙌🏻
314,I love you
315,This makes me so happy!!!🤭
316,@jennyorchid
317,@jacquelinelichtenstein
318,My birthday! 👏
319,Apple crisp macchiato too??? 🥺🥺🥺
320,I approve this message.
321,@michaelkfollis TODAY
322,YAYYYY
323,Can’t wait !! 🎃😍
324,Oh yeah 🤘 🎃 🖤:)
325,AHHHH I’M READY 🍂
326,@shannontia13 😍
327,@klikekyle it’s time! 🥳🎃🖤
328,I’m so excited🧡🎃
329,Yassssss!!!
330,yassss
331,AHHHHH 🥰🥰🥰🥰🥰
332,Yes! Finally!🎃🎃
333,PSL SEASON ❤️
334,Finally!!🙌🎃🙌🎃🙌
335,Finally 😍
336,What an amazing birthday gift!!! 🥳🎉
337,Ahhhhh..omg!!!❤️😍
338,@nursemicque
339,Yassssssss!!!!!!!! 🔥🔥🔥🔥☕️☕️☕️🎃🎃🎃🎃🎃🎃
340,Can’t wait! 🎃 🧡🍁🍂
341,😍🔥so ready
342,@hallebrea @egowey 🤤
343,🎃 so ready! 🎃
344,YEAAAAHHHHHHH 🎃 🍂
345,ITS TIMEEEEEEEE
346,🎉 🎃 🎉🎃🎉
347,YESSSSSS
348,Love fall drinks starting on my birthday
349,FINALLY 👏🙌👏🙌👏🙌
350,Yasssss🎃
351,YASSS YASSS YASSS 😍😍
352,Ready 🔥
353,@jam3.ssss
354,@maceyhinson
355,@virg3aux_queen_oria @divalicious_niq
356,i’ll be there at 5:30am SHARP
357,@alexiscorine_ and we are officially back
358,I’m sure it still won’t be dairy free this year but a girl can dream 🤞🏻
359,@madibradyy it’s happening😍
360,Is this the same for the UK too 😭😭😭🎃🧡
361,@becstrordinary
362,Kobe💛
363,Are you sure? I don’t want to look stupid when I walk thru those doors in a few mins 😅
364,@joe_darco 🎃👻
365,@muvagem831 Wooohoo 🎃
366,@gabbie_reeves wwooooo👏
367,ITS TOO EARLY
368,@kristidenner
369,@mikeybrr it’s time
370,@sarahbisso
371,@aliclarkhudson & @bryanhudson25 I always think of yall when it comes to this season & your love for the pumpkin spice cold brew
372,That’s my birthday 😍😍
373,@kate_schafer_
374,@jossie_bv vas a querer mañana ?
375,@cashidyy On your birthday?! GET OUTTA TOWN!!!
376,we are so ready 🎃
377,That Apple 🥐 and pumpkin 🎃 chai gave me the serotonin boost I needed this morning
378,@kileycline_ maybe you will try Starbucks like I’ve been telling you now!! Get off that Tim Horton train!!
379,@bridget.mae 🥰🥰🥰
380,It’s time 😌
381,It is time.
382,@sheissaayeee 🙌
383,THE BEST TIME OF THE YEAR!!!!
384,Vegan pumpkin spice?
385,@juliakathrynsaville @reagangal Feels wrong not being with y’all
386,can’t wait!!
387,I’ve been waiting allll year 😍😍😍😍
388,Let’s goooooooooo
389,Important question: pumpkin cream cheese muffin?
390,YESSSSSS OMG IM SO EXCITED
391,Just ordered my Iced PSL and Baked Apple Croissant 🧡🎃
392,Ummm where did the pumpkin cream cold brew go? Anyone else not have it available in their area?
393,Psl comes out on our Anniversary 🎃 @chris_tron
394,@little.pauline 😍
395,Best day and even get to enjoy it with the birthday girl “my daughter “ 🧡
396,"@carson_hall look up Brock, you’re in the end zone"
397,@_janelleeb
398,@jenny_contorno just in time for my return to work!
399,@medallion_miguel @vitamins4mysoul heute 🙌
400,8/24 is Kobe day. Y’all tripping
401,@lipstick_hippie007
402,@rachcoco81
403,MAKE IT VEgAN🌱🎃
404,@jessadams95
405,@cocoinstaglam
406,@jennalee_ekb
407,YESSS FINALLY
408,@callistaweiss IT IS TIME
409,"My daughter and I have an annual tradition of going before school to get our first PSL of the season. She’s getting older so I know these moments are limited, but they bring me so much joy. #basicdad"
410,@jasminjimenez92 what its that date about?
411,@erinnorth1
412,@therelatablerealtors our favorite iced chai latte w/ the pumpkin foam is an official menu item this year 😍
413,@jordan.keyser
414,@lovelybodyproducts @notjustne1sqt
415,YES YESYES
416,WE RIDE AT DAWN!
417,@kaceyandkiddos round two??? 😂
418,@madisonclayrector happy bday to you😂
419,The white girls are at it again
420,@mary_tworek_
421,Josie’s birthday and the first day of pumpkin spice season. The best day of the year🍂 @kel_laird
422,@lalaurakk94
423,Entering my fall girl era as soon as I get that first sip 🙌🍁🎃🧡
424,@neko.of.moon 🔥
425,@kelliefrain it’s finally time!!!!!
426,@instahutchyb0i
427,@_jennigreen @terrymullan 😱😱
428,@dava.christine @kskorkz @emmaraiderr 😃🎃☕️
429,@jemma.baldassarra our time has come 👻
430,@kayymills11 @alexis_becker95 @kittkhattg @corinnee_colloraa @jazz_guevara14 @ryannicole_
431,NO PUMPKIN CREAM COLD BREW??????
432,@rachel.criss
433,@maaikerosdorf almost pumpkin spice latte season 😍😍😍😍
434,@shaylasheets77 @makayla.larntz I can’t wait for my pumpkin cream cold brew tomorrow
435,We must go to Starbucks tomorrow!! 🎃🤰🏽🧡 @jeff.larouche
436,@lilychandler36
437,FINALLY 😮‍💨💕
438,@mamburgey10
439,@emilylashley_ @hailey.bales @kennedyashlyn @tetlash @averyhill SOUND THE ALARMS!!!! TOMORROW 🎃☕️😍
440,@kim_hirugami
441,IM SO EXCITED
442,@georgxx
443,KOBE
444,@ebonybatty8 yassssss 😍
445,pumpkin cream cold brew w cold foam u were missed
446,@baber__jade !!!!!!!!!!!!!
447,@_katiebelcher WAIT THATS TOMORROW
448,Thinking of u @miaff_49_
449,@emilymckain
450,u remembered my birthday aw
451,It’s my time 🎃 hopefully this is the uk 😂 @shellybaby41
452,@melissa_gettingfit
453,@emily.crane16 I’m ready🙌
454,"Ya salió para miembros desde la semana pasada, fui corriendo por el ♥"
455,@cssndrabntz they did you lol
456,@anniev.o We going tomorrow for real
457,@jbeans77 @missmarcieg ❤️
458,Ettssssss @rodrigosg1 🎃😍🧡
459,AHHHHHHHHHH @ivybellemiller
460,@hoppstorm IT IS TIME
461,@ashleywinges omg I’m so happy
462,@ariisluvsu
463,@mrslauralangford YOU KNOW WHAT THIS MEANS
464,@electracooley_
465,@katherinebeadle.xx 😍🎃
466,@all_things_cosmoprof
467,@goforshaina 😍
468,@mckenzie.clark23 !!!!
469,@soniaprihar19
470,❤️
471,@vccpharmd
472,Finally 👏
473,OMG YES I NEED MY PUMPKIN SPICE FRAPPUCCINO!! 🎃
474,🎉🍂🍁🍁
475,finally 🙏🙏
476,oh my god
477,SLAY I WILL BE THERE BRIGHT AND EARLY
478,Getting ready !!
479,MAKE IT VEGAN PLEASE
480,bring back the mango frappe. i beg you. 😔
481,YESS YEAHSHSH
482,I CANT WAITTTT
483,❤️
484,@roxiemolock
485,Can it be veganized this year?
486,@dee.clay.80 😍
487,@kendylshelton 🎃☕️🖤✊🏼
488,@amber__averill @mrco_rmrz IT’S HAPPENING
489,@hollybrownnx ITS HAPPENING
490,@singercharlotteforman pumpkin spice starts today😍
491,@bodenmorrison Its coming.. 🧡
492,We’ve been waiting for this moment all year 😍
493,@dontpanickerry
494,@jaasmineleigh01
495,@giovanna.romac
496,ITS 12PM WHERE IS MY UPDATEEEEE
497,WAHHHHHHY
498,@anahcrum
499,What about the UK!!?
500,Okay @starbucks it’s the 24th now!!!!
501,Excellent news!! 😍🙌🎃🥤
502,YESS
503,😍
504,I miss summer but Starbucks helps
505,I NEED IT NOW
506,It’s early
507,𝖯𝖴𝖬𝖯𝖪𝖨𝖭 𝖲𝖤𝖠𝖲𝖮𝖭 🎃 🧡
508,😍😍😍
509,@cverstraeten 🤩🤩
510,@rxmy.vl kijk dat is nou een leuk cadeautje
511,Shut up...omg nooio
512,no pumpkin scone would be a huge disappointment and the biggest mistake
513,wow!so beautiful!i love it!And i have wholesale hair. if you need.please contact me.thank you
514,"AS A GOLD MEMBER, IM ANNOYED"
515,Kobe Day! 💛💜
516,HELP I STARTED FREAKING OUT BECAUSE I THIUGHT THIS WAS SOMEHOW TAYLOR SWIFT RELATED AND I WAS LIKE “COLLAB WITH STARBUCKS FOR 1989 TV????”
517,Omg I can’t wait … is this for the uk too @starbucks
518,PUMPKIN 👺👺👺👺👺😍😍😍
519,@asmitsx
520,pumpkin spice and everything nice
521,@paigecr 🥲🥲
522,Best birthday ever🥳8/24!
523,Dont wait 🎃🎃🎃🥹 @starbucks @starbucksuae
524,Is this in the uk too @starbucks i need my PSL
525,Omg pumpkin spice is back
526,@kerriegoodier it’s happening!!!
527,Is this uk Starbucks or just America?
528,@serencottagecrystals.malvern 😆😆
529,Finally 🙌😮👏👏👏
530,Is this out in the UK?
531,She startin ‘
532,"Not yet in the netherlands……..
went this morning, 5/6 sept"
533,@graceamanda3 the time has arrived 🎃
534,BETTTTT
535,@starbucks when will the PSL be available in Europe? 🥹🎃🙏
536,@naththerave 🎃
537,Yesssssssssss!🎃🎃🎃🎃🎃🎃
538,Amen 🫶🎃
539,Do you guys not give free pumpkin drinks to your top pumpkin customers anymore? I got an email in 2021 and 2022 for a free drink at launch and was looking forward to it this year. But I didn’t receive an email. 💔😔
540,Bize ne zaman Pumpkin Spice Latte gelecek? 😊 @starbucks_tr @starbucks
541,"I’ve never tried anything pumpkin. What do ya’ll recommend? Btw, I love my drinks on the sweeter side. 😅"
542,screaming crying throwing up
543,BRING BACK THE PUMPKIN SCONE NOW!!
544,@starbucksuk ?!?!?!
545,Yassssssss Already bought my @starbucks pumpkin spice creamer!!!
546,I’VE BEEN WAITING ALL YEAR FOR THE PUMPKIN SCONE 🎃! YOU MUST BRING IT BACK NOW 😤
547,Lines are about to be outrageous! We’ll be 30 minutes late to work now vs the usual 15 😂😂
548,@starbucks is it vegan yet? 🙈😫
549,@sejpatel_ ❤️
550,Where is the pumpkin cream cold brew :(
551,…but can you bring back the salted caramel mocha? 😢
552,No more pumpkin scone???
553,the white girls are coming for the worst drink ever
554,Feel Sorry to all those employees that has to face today 😢 be strong 💪
555,"Hey Starbucks!
I’m about to work with y’all!!😧🥳"
556,Why isn’t the pumpkin cream cold brew released with the rest of the menu?
557,Pumpkin cream coldbrew?????
558,I’m so sad the pumpkin scone didn’t come back. 😢
559,WHERE IS THE SCONE?!
560,WHERES THE PUMPKIN SCONE?! @starbucks #thisisatragedy
561,❤️
562,not excited because you got rid of the pumpkin scone. shame.
563,Where’s the pumpkin cream cold brew?? @starbucks
564,Where is the pumpkin cream cold brew I am 😭😭😭😭😭
565,😍😍😍😍😍😍
566,Ur ruining my life by not bringing back the PCCB FYI
567,YAY!!!
568,❤️
569,🔥🔥🔥🔥
570,🎃🎃🎃🎃🎃
571,I wish the pumpkin spice latte was available in Korea too 😢
572,Is this in the UK too?
573,@johndouglasrealtor
574,@heycalik it’s time
575,Count me out this year and all future years whole you support things I don't.
576,@wemilypaige
577,@amylcampbell I’d say this is just America but it’s coming 😍
578,Set a budget aside just for Pumpkin Cold Foam🥰
579,@starbucks the pumpkin cream cold brew is not showing up as an option to order in the app.
580,🔥
581,@jdyarwd pumpkin spice is out!!!!!!!!!!
582,🎃🎃🎃🎃🎃🎃
583,@jdyarwd it’s time!!!!!!😂😮😍
584,@baleigh7 !!!
585,@frankiegiv 🧡🧡
586,Where is the pumpkin cream cold brew?? @starbucks 😭😭😭
587,@sydnie.clark @kejosame
588,How can you order a pumpkin cream cold brew as it didn’t return to the menu. Only pumpkin drink I’ve ever enjoined
589,@colleenmeechan
590,@yana_vytiaz
591,wheres the pumpkin cold foam….
592,The PCCB is missing from mobile ordering in VT! 😭
593,How do I dislike posts
594,WHERE'S THE PUMPKIN CREAM COLD BREW TODAY!! 🎃🎃🎃 I NEED IT!!
595,@fortycal430
596,is salted caramel mocha making a comeback ?
597,As a person made up entirely of your 🎃 cold brew…. Why can’t I find it anywhere by me?! 😭😭😭😭😭
598,Please don’t run out either
599,Whyyyyyy did you discontinue the pumpkin scones?? 💔💔💔
600,Where’s the pumpkin cream cold brew on the menu?!
601,"We need to talk, Starbucks… why is Pumpkin Cream Cold Brew missing in action from your fall lineup on the app?! 🤨"
602,Why is there no pumpkin cream cold brew?!?
603,Sponsorship?
604,Where is the pumpkin cream cold brew????????????
605,@lesliemily 😍🙌
606,Guys. It’s. Not. Fall. August just doesn’t qualify and especially not here in Texas where we are continuing our >100° streak for who knows how long.
607,PLEASE MAKE THE PUMPKIN SAUCE NON-DAIRY I AM BEGGING
608,I ordered the first one today and got it free
609,Where is the pumpkin scone?! @starbucks 😭😭😭😭
610,Mamba Day like button
611,Here goes all my money
612,🍁❤️🍁
613,Is it for the uk too?
614,❤️❤️❤️
615,WHAT ABOUT THE UK
616,yesss
617,WHY DO NONE OF THE STORES HAVE PCCB RIGHT NOW WHAT IS HAPPENING !!!!!!!!!!!!!!!
618,🔥🔥🔥🔥🔥🔥🙌🙌🙌🙌🙌
619,Too soon y’all!!!! But anything else being launched?
620,Bring back the sour apple frappe!!!!
621,Yeaaaaahhhh
622,WHERE IS THE SCONE?!? Tragic
623,But no pumpkin cream cold brew?! My store is listing it as out of season😭😭😭😭😭
624,STO ARRIVANDOOOOOO
625,@jameslevatte 😁
626,PUMPKIN SPICEEEEEE
627,@allyfragomeni
628,Wow i love
629,Did Starbucks change their pumpkin sauce recipe?
630,i just fell to the ground
631,uh oh
632,There’s no PCCB near me 😢
633,Why is there no pumpkin scone!?!?!?😭😡 It’s my favorite fall item❤️
634,pumpkin scone?!!!?!!
635,The queen is back to reclaim her throne 👏👏👏
636,I know what I’m doing today!
637,@kobebryant day and PSL day!
638,I’m tearing up this is beautiful
639,Bust out the uggs ☕️
640,Where's the pumpkin scone? This is absolute terrorism
641,The real question is - hot or iced? Vote! 👇🏼
642,Too soon
643,RIP Kobe
644,@al.chep TODAY
645,@kyliefrank_02 IT IS TIME
646,Where the pumpkin cream cold brew??? My store doesn’t have it today
647,You spelled 'pumpkin pi' wrong
648,@c.at.h 😁😏
649,Give me all the Pumpkin Spice 🎃🎃
650,Yay
651,ITS OFFICIALLY FALL. Gotta go get my pumpkin cream cold brew
652,AINT GOD GOOD!!🧡
653,"I couldn’t get pumpkin cold brew at two locations near me 🥹 it wasn’t under fall favs in the app, nor the cold brew tab. Under cold brew tab it said it was out of season 🥲 @starbucks fix thissssss"
654,Same
655,YAYAAYAYAYAYAYAYAYA
656,please consider a dairy free pumpkin option!
657,@kate_hepinstall 🙌
658,it’s here.
659,Yes!!!!!!!!!! 🎃
660,@starbucks We need a Pumpkin Spice Cakepop please!! 💖
661,@starbucks do you have to use your birthday reward ON your actual birthday?
662,I AM FULLY PREPARED FOR PUMPKIN SEASON 🧡
663,😍😍🎃🎃🎃
664,🙌🙌🙌🙌🙌
665,Tried to order pumpkin cream cold brew this morning and it says out of season? Why? 😢
666,My pumpkin 🎃 pregnancy 🤰🏼 craving dreams have come true 😍🙌❤️
667,Today is love
668,I love today
669,Not in 🇬🇧 😢😢😢 @starbucksuk
670,@jessica.elaine.taylor
671,I’ve been around since the inception of Starbucks but have never had their pumpkin spice latte …Is it worth the hype?
672,Love but so sad no pumpkin scones!!!!!
673,But where’s the pumpkin cream cold brew??😦😔
674,Why does the pumpkin cream cold brew say it’s out of season on the app but it’s the 24th ?
675,@starbucks very bummed none of your locations in town have the pumpkin cream cold brew. How do you roll out the fall menu and only have half the items available???
676,Where’s the pumpkin scone?!?😭💔
677,Why do you hate the salted caramel mocha 😭😭😭
678,🎃 Omg. Been waiting for this alllllllllll day
679,🎃🎃🎃🎃🍁👌🏼🍂☕️
680,Apple crisp me pleaseeeee
681,It’s apparently the top day today to call off work lol? Maybe everyone is going to Starbucks instead 😂
